127.0.0.1 - - [29/Jan/2021:21:09:28 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:09:28 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:21 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:23 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:23 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:24 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:24 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:30 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:31 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:31 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:44 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:48 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:49 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:11:49 +0530] "GET /Spring-REST-JSON/ HTTP/1.1" 200 72
